Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Education Index
Luxembourg,220.1,184.3,65.8,75.2,64.8,8.6,27,23.3,82.6,0.875
Netherlands,211.3,134.5,73.1,79.3,60.5,7.7,23.5,21.6,87.2,0.89
Denmark,209.9,137.3,74,78.4,66.9,6.5,27.8,20.6,82.5,0.909
Oman,208.9,153.8,81.7,65.1,39.8,3.1,22.1,35.6,67.2,0.7
Switzerland,205,164.8,73.5,71.5,98.4,11,33,23.1,79.2,0.902
Finland,203.8,127.6,73.2,77.5,58.7,8,25.5,11.8,58.6,0.907
Iceland,202,127.9,74.3,67.6,83.4,6.7,21.4,16,68.8,0.938
Norway,195,122.7,67,75.6,69,8.4,26.4,18.3,68.5,0.912
Qatar,193.3,185.7,84.2,73.4,47.5,5.2,29,60,36,0.8
Sweden,193.2,133.8,52,68.3,54.2,7.7,28.7,17.6,76.5,0.89
Austria,192.9,110,70.5,77.9,60.7,11.5,23.8,20.9,77.8,0.89
New Zealand,192.5,134.4,51.8,68.4,55.3,7.3,32.2,26.1,95.5,0.914
Australia,192.2,140,52.7,73.4,60.9,8.1,37.4,26.8,93.8,0.929
Germany,190.2,130.7,60.6,71.9,58.4,8.9,29.7,28.9,82.9,0.94
United States,188.8,152.1,50.8,67.8,64.9,3.3,32.9,36.7,78.5,0.89
Estonia,185.7,86,76.3,75.5,49.4,11.4,21.5,17,64.3,0.875
Japan,185.2,122.7,77.1,80,45.6,12.2,40.7,38.5,85.3,0.89
Spain,184.4,101.4,63.4,77.3,43.5,8.5,26.8,35.7,93.6,0.85
Slovenia,179.3,86.1,76.2,66.1,46.2,13,25.2,22.2,76.1,0.898
Saudi Arabia,177,149.2,76.1,61.8,41.9,3.1,29.9,62.5,55.3,0.7
United Arab Emirates,177,133.9,84.5,70.6,54.1,7,35.7,48.1,45.8,0.8
Czech Republic,174.8,91.1,73.5,75.5,42.6,13.5,28.9,34.6,80.1,0.875
Croatia,174.6,80.8,74.5,64.7,43.2,12.8,25.3,31.2,89.2,0.825
United Kingdom,174.5,124,51.7,72.7,59.2,8.8,34.7,40.7,87.2,0.901
Lithuania,173,81.8,67.6,75,44,12.4,23.6,26.3,67.8,0.875
Belgium,169.3,119.1,50.6,75.9,56.5,6.8,34.8,49.2,86,0.89
Portugal,167.8,61.9,67.9,72.2,41.2,14.7,28.5,28.8,97.3,0.85
Ireland,166.5,113.4,52.4,51.5,59.8,6.7,37.7,35,87.8,0.89
Canada,166.4,112.9,54.3,68.7,58.7,10.2,33.5,29.8,57.8,0.89
France,166.3,112.8,44.6,77.7,58,10.3,34.5,43.5,90.2,0.89
Latvia,164.7,77.2,62.9,62.4,43.4,8.6,28.7,30.3,74.7,0.85
Pune,164.3,154.4,58.9,65.7,22.8,6.2,44.1,71.2,74.3,86.15
Israel,163.6,113.3,68.2,73.2,65.2,13.7,36.5,56.8,93.8,0.85
Taiwan,160.7,103.5,82.9,86.5,44.4,21.3,32.7,64.2,84.4,0.85
Kuwait,160.6,180.3,67.2,58.4,40.4,7.3,35.3,69.4,20.2,0.8
Cyprus,158.5,83.1,66.9,57.1,49.5,8.2,23.6,55.3,92.2,0.85
Slovakia,157.6,75.8,69,58.4,42.1,14,27.5,37.1,78.1,0.85
Tiruchirapalli,157.48,98.06,62.31,84.81,17.17,5.92,43.57,53.58,54.97,91.37
Poland,153.9,94.2,71,58,38.9,11,31.9,55.4,75.9,0.85
Navi Mumbai,153.34,106.22,63.49,73.05,20.76,11.96,40.64,59.18,71.11,89.62
Singapore,152.8,98.3,77.4,71.8,79.1,23.2,40.7,32.6,57.5,0.85
South Africa,152.4,114.2,25.3,63.8,30,3.2,38.6,56.6,95.3,0.7
Hyderabad,151.9,130,57,65.5,21.2,5.3,42.3,76.1,73.5,83.26
Italy,151,87.3,53.1,65.1,51,9.5,32.4,53.5,90.2,0.85
Chandigarh,148.89,95.4,57.01,62.85,20,14.31,31.81,51.03,70,86.77
South Korea,147.7,107.2,75.1,82.8,56.5,22.2,40.3,60.9,68.4,0.89
Jaipur,145.9,89.2,65.1,72.5,18.9,6.9,42.1,61.1,57.8,84.34
Bhubaneswar,145.32,70.87,65.83,70.97,19.31,10.94,32.53,47.92,50.25,93.15
Hungary,144.6,72.4,66.3,54.3,36.6,13,35.6,46.5,78.7,0.85
Bulgaria,143.8,76,63.9,58.1,35.4,9.3,29.2,62.8,82.8,0.8
Udaipur,143.65,61.01,64.2,74.07,19.16,12.52,27.4,56.3,69.54,90.43
Guwahati,143.48,98.65,54.05,63.55,17.37,4.96,30,76.01,71.86,91.47
Nagpur,143.03,88.33,62.21,66.93,19.3,11.98,28.85,60.67,55.82,91.92
Romania,142.2,74.7,67.7,56.5,34,10.3,33.4,58.7,76.2,0.8
Uruguay,139.8,55.2,48,68.6,46.3,13,39.5,43.5,98,0.8
Surat,139.25,52.79,66.59,66.5,18.97,8.71,26.84,55.95,58.67,86.65
Gurgaon,138.8,145.7,46.4,65.1,24.7,7.9,35.4,90.9,59.9,84.7
Jammu,138.52,103.43,60.78,45.83,17.6,15.34,30,66.01,73.61,86.6
Greece,138.1,60.7,53.6,58.5,46.5,13,32.8,49.4,91.8,0.85
Siliguri,137.94,60,52.81,68.25,17.82,7.99,15,69.47,71.47,79.5
Bangalore,137.8,126.5,45.8,65.2,23.1,7.4,53.6,82.6,89.4,87.67
Chennai,137.6,112.8,60.3,69.6,20.7,8.1,46.7,74.5,53.2,90.33
Malaysia,135.8,85.6,51.1,70.3,29.7,8.7,37.3,61,56.6,0.725
Bosnia And Herzegovina,134.8,64.3,58.3,55.6,31.6,13.2,26,59.7,80.5,0.7
Indore,134.44,79.92,51.64,53.61,17.87,10.45,34.37,60.18,74.26,85.6
Hong Kong (China),134,105.5,78.5,66.1,73.6,29.1,41.8,66.5,83.6,0.85
Mangalore,133.4,35.89,73.97,61.99,18.4,11.87,35.39,50.32,66.65,94.03
Kota,133.11,65.66,69.62,59.26,18.57,6.06,34.8,66.64,54.26,82.8
Malta,132.7,77.8,57,52.5,48,11.2,28.1,75.5,97.4,0.85
Rajkot,132.36,65.88,64.83,64.01,18.26,13.15,29.56,59.84,52.91,86.2
Coimbatore,131.6,62.8,61.7,69.1,17.6,10.7,47,63.1,78.1,89.23
Goa,131.58,57.32,53.77,66.04,19.9,9.85,45.38,49.41,68.49,88.7
Turkey,131.1,52.6,58.8,71.2,34.7,10.7,43.7,64.3,93.3,0.7
Thiruvananthapuram,129.8,52.01,60.69,62.82,18.5,8.12,40.89,56.48,64.78,93.72
Bhopal,129.44,69.53,55.9,58.25,19.07,15.08,32.35,57.96,66.57,85.24
Costa Rica,129.4,52.3,45.9,64.3,50.1,10.3,60,42,99.5,0.775
Thane,128.83,74.62,69.16,62.22,21.18,18.3,43.64,62.94,71.11,89.41
Ecuador,128.5,46.6,37.5,77.1,30,11.9,36.6,59,98.7,0.7
Belarus,127.5,56.1,50.2,48.5,25,12.8,31.2,44.9,64.4,0.82
Mexico,126.3,48.3,46.6,72.5,34.5,11.8,39.1,58.4,85.3,0.7
